,price,address,postcode,number_bedrooms
57,499950.0,"Ivy Road, London, NW2",NW2,2.0
59,800000.0,"Dollis Hill Avenue, Dollis Hill, London, NW2",NW2,3.0
60,435000.0,"Neeld Crescent, Wembley, HA9",HA9,3.0
62,550000.0,"Birchside Apartments, 1 Albert Road, Queens Park, London, NW6",NW6,1.0
63,325000.0,"Elgar Avenue, Neaseden, NW10",NW10,2.0
64,555000.0,"Lodore Gardens, London, NW9",NW9,3.0
67,550000.0,"Beaumont Avenue, Wembley, Middlesex HA0",HA0,3.0
68,1250000.0,"Liddell Gardens, Kensal Rise NW10",NW10,4.0
70,530000.0,"Kilburn Lane, London, W10",W10,2.0
73,560000.0,"Monks Park, Wembley, Greater London, HA9",HA9,3.0
74,625000.0,"Crummock Gardens, Colindale, NW9",NW9,3.0
75,310000.0,"Hyde Court, Church Lane, Kingsbury, London, NW9",NW9,2.0
77,275000.0,"Mascotts Close, London, NW2",NW2,1.0
78,375000.0,"Roe Lane, London, NW9",NW9,2.0
79,585000.0,"Willesden Lane, Brondesbury, NW6",NW6,3.0
83,360000.0,"Fiona Court, Brondesbury Villas, Queen's Park, London, NW6",NW6,1.0
85,475000.0,"Brondesbury Villas, London, NW6",NW6,2.0
87,600000.0,"33 Olympic Way, Wembley, London, HA9",HA9,2.0
89,400000.0,"High Road, Willesden, London, NW10",NW10,2.0
91,400000.0,"Heber Road, London, NW2",NW2,1.0
92,600000.0,"Milverton Road, Brondesbury Park, NW6",NW6,2.0
94,750000.0,"Nettleden Avenue, Wembley, HA9",HA9,6.0
95,550000.0,"Eton Avenue, Sudbury, HA0",HA0,4.0
96,300000.0,"Matthews Close, Wembley, HA9",HA9,1.0
97,2250000.0,"Victoria Road, London, NW6",NW6,6.0
98,1395000.0,"Wren Avenue, Willesden Green, NW2",NW2,4.0
100,415000.0,"31 Cavendish Road, London NW6",NW6,0.0
101,300000.0,"Willesden Lane, Willesden Green, NW6",NW6,1.0
102,530000.0,"Malvern Road, Maida Vale, London, NW6",NW6,2.0
103,350000.0,"Uphill Drive, Kingsbury, London, NW9 0BU",NW9,2.0
104,625000.0,"Glengall Road, London, NW6",NW6,2.0
108,429995.0,"Brondesbury Road, London, NW6 6AS",NW6,1.0
110,650000.0,"Chichele Road, Willesden Green, London, NW2",NW2,3.0
111,525000.0,"Selwyn Road, Harlesden, NW10 8QY",NW10,3.0
112,650000.0,"The Avenue, Queens Park, NW6 ",NW6,2.0
113,415000.0,"31 Cavendish Road, London NW6",NW6,0.0
114,600000.0,"Milverton Road, Brondesbury Park, London, NW6",NW6,2.0
115,350000.0,"High Road, Wembley Park, Wembley, HA9",HA9,1.0
116,475000.0,"Hatton Road, Wembley, HA0",HA0,2.0
117,700000.0,"Rosslyn Crescent, Wembley Park, Wembley, HA9",HA9,4.0
